id,name,description,longitude,latitude,image_url,article_url,source,source_url
Q61366299,আবুল বরকত স্মৃতি জাদুঘর,জাদুঘর,90.38958,23.72766,http://commons.wikimedia.org/wiki/Special:FilePath/Bhasa%20Shaid%20Abul%20Barkat%20Museum.jpg,,Wikidata,http://www.wikidata.org/entity/Q61366299
Q18987429,চট্টগ্রাম চিড়িয়াখানা,চট্টগ্রামে অবস্থিত চিড়িয়াখানা,91.79618955,22.36657159,http://commons.wikimedia.org/wiki/Special:FilePath/Chittagong%20Zoo%20-%202.jpg,https://en.wikipedia.org/wiki/Chittagong_Zoo,Wikidata,http://www.wikidata.org/entity/Q18987429
Q16253165,বাংলাদেশ মেরিটাইম মিউজিয়াম,বাংলাদেশ মেরিন একাডেমিতে অবস্থিত জাদুঘর,91.839,22.242,http://commons.wikimedia.org/wiki/Special:FilePath/Bangladesh%20Maritime%20Museum.jpg,https://en.wikipedia.org/wiki/Bangladesh_Maritime_Museum,Wikidata,http://www.wikidata.org/entity/Q16253165
Q7915600,বরেন্দ্র গবেষণা জাদুঘর,বাংলাদেশের প্রথম জাদুঘর,88.5924,24.3671,http://commons.wikimedia.org/wiki/Special:FilePath/Varendra%20Research%20Museum%2010.jpg,https://en.wikipedia.org/wiki/Varendra_Research_Museum,Wikidata,http://www.wikidata.org/entity/Q7915600
Q118591272,চট্টগ্রাম শিশু পার্ক,চট্টগ্রামে অবস্থিত শিশু পার্ক,91.8240624,22.3475918,,,Wikidata,http://www.wikidata.org/entity/Q118591272
Q19741757,বীরশ্রেষ্ঠ মুন্সী আবদুর রউফ স্মৃতি জাদুঘর ও পাঠাগার,স্মৃতি জাদুঘর ও পাঠাগার,89.5228,23.5193,,https://en.wikipedia.org/wiki/Birshreshtha_Munshi_Abdur_Rouf_Library_and_Museum,Wikidata,http://www.wikidata.org/entity/Q19741757
Q51876,বাংলাদেশ জাতীয় জাদুঘর,বাংলাদেশের জাতীয় জাদুঘর,90.3941,23.73755,http://commons.wikimedia.org/wiki/Special:FilePath/DG%2091%20-%2009%20NATIONAL%20MUSEUM%20DHAKA%20IMG%2031782.jpg,https://en.wikipedia.org/wiki/Bangladesh_National_Museum,Wikidata,http://www.wikidata.org/entity/Q51876
Q118369953,নজরুল স্মৃতিকেন্দ্র,কাজী নজরুল ইসলামের স্মৃতিবিজড়িত জাদুঘর,90.3938364,24.657746,,,Wikidata,http://www.wikidata.org/entity/Q118369953
Q5454552,ফিশ মিউজিয়াম এন্ড বায়োডাইভার্সিটি সেন্টার,"museum in Mymensingh, Bangladesh",90.428,24.725,,https://en.wikipedia.org/wiki/Fish_Museum_%26_Biodiversity_Centre,Wikidata,http://www.wikidata.org/entity/Q5454552
Q131427448,সুচিত্রা সেন স্মৃতি সংগ্রহশালা,পাবনায় অবস্থিত একটি স্মৃতি জাদুঘর,89.235758,23.999278,http://commons.wikimedia.org/wiki/Special:FilePath/Suchitra%20Sen%20Memory%20School%2002.jpg,,Wikidata,http://www.wikidata.org/entity/Q131427448
Q18988935,লালমনিরহাট জেলা জাদুঘর,বাংলাদেশের লালমনিরহাট জেলায় অবস্থিত একটি জাদুঘর,89.453222222,25.917333333,,,Wikidata,http://www.wikidata.org/entity/Q18988935
